Район,Сокращённое название,Полное название,Тип организации,ИНН,Адрес одной строкой как в ЕГРЮЛ,Координаты,Статус организации,Дата последних изменений,Дата регистрации,КПП,ОГРН,Дата выдачи ОГРН,ОКАТО,ОКТМО,ОКПО,ОКОГУ,ОКФС,ОКВЭД,Версия справочника ОКВЭД (2001 или 2014),Код ОКОПФ,Полное название ОПФ,Краткое название ОПФ,"Версия справочника ОКОПФ (99, 2012 или 2014)",Должность руководителя,ФИО руководителя,Количество филиалов,Тип подразделения
Воронеж,"АН ПОО ""КОЛЛЕДЖ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И ФИНАНСОВ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ПРОФЕССИОНАЛЬНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОЛЛЕДЖ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И ФИНАНСОВ""",профессиональная образовательная организация,3662257451,"394026, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. ДРУЖИННИКОВ, Д. 8","51.6853497, 39.1751079",действующая,18-12-2025,08-12-2017,366201001,1173600010814,08-12-2017,20401000000,20701000001,20478519,4210014,16,85.21,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Ким Светлана Мироновна,1,головная организация
Воронеж,"АНО ОНШ ""СВЕТЛАНА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ НАЧАЛЬНАЯ ШКОЛА ""СВЕТЛАНА""",общеобразовательная организация,3666237008,"394036, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. АРСЕНАЛЬНАЯ, Д. 1","51.6754938, 39.2155241",действующая,05-05-2025,21-06-2019,366601001,1193600000660,21-06-2019,20401000000,20701000001,40324600,4210014,16,85.11,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Шарова Диана Ефимовна,0,головная организация
Воронеж,"АНО ПО ""ВОРОНЕЖСКИЙ КОЛЛЕДЖ ""НОМОС""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ВОРОНЕЖСКИЙ КОЛЛЕДЖ ""НОМОС""",профессиональная образовательная организация,3666210158,"394036, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. ПЯТНИЦКОГО, Д. 67","51.6672847, 39.2097548",действующая,13-02-2025,20-06-2016,366601001,1163600050580,20-06-2016,20401000000,20701000001,45969787,4210014,16,85.21,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Колесникова Полина Владимировна,0,головная организация
Воронеж,"АНО ЦДО ""ЗЕЛЕНАЯ УЛИЦА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЗЕЛЕНАЯ УЛИЦА""",дошкольное образование,3664064818,"394088, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, Б-Р ПОБЕДЫ, Д. 50В, ПОМЕЩ. II","51.713049, 39.145553",действующая,12-02-2025,03-06-2005,366201001,1053600229132,03-06-2005,20401000000,20701000001,77872638,4210014,16,85.41,2014,71400,Автономная некоммерческая организация,АНО,2014,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,Дырдин Александр Александрович,0,головная организация
Воронеж,"АНО ШКОЛА ""ПРЕМЬЕР""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ШКОЛА ""ПРЕМЬЕР""",общеобразовательная организация,3662298465,"394061, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г.О. ГОРОД ВОРОНЕЖ, Г ВОРОНЕЖ, УЛ УРИЦКОГО, Д. 70","51.6832325, 39.2006809",действующая,29-04-2025,31-01-2022,366201001,1223600001184,31-01-2022,20401000000,20701000001,74377849,4210014,16,85.11,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Фомичева Людмила Владимировна,0,головная организация
Воронеж,"АНОО ""МАГИСТР""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""МАГИСТР""",дошкольное образование,3666266721,"394087, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г.О. ГОРОД ВОРОНЕЖ, Г ВОРОНЕЖ, УЛ ЛОМОНОСОВА, Д. 114/13, КВ. 210","51.72799, 39.207474",действующая,07-02-2025,20-04-2023,366601001,1233600007409,20-04-2023,20401000000,20701000001,57895353,4210014,16,85.11,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Могилев Александр Владимирович,0,головная организация
Воронеж,"АНОО ""ЧАСТНАЯ ШКОЛА ""ВЕКТОР""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ЧАСТНАЯ ШКОЛА ""ВЕКТОР""",общеобразовательная организация,3664249618,"394018, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г.О. ГОРОД ВОРОНЕЖ, Г ВОРОНЕЖ, УЛ 9 ЯНВАРЯ, Д. 43","51.661049, 39.192418",действующая,10-02-2025,21-05-2021,366401001,1213600018576,21-05-2021,20401000000,20701000001,60099810,4210014,16,85.13,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Киреченкова Наталия Сергеевна,0,головная организация
Воронеж,"АНОО ВО ""ВОРОНЕЖСКИЙ ЭКОНОМИКО-ПРАВОВОЙ ИНСТИТУТ"", АНОО ВО ""ВЭПИ"", ВЭПИ","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВОРОНЕЖСКИЙ ЭКОНОМИКО-ПРАВОВОЙ ИНСТИТУТ""",профессиональная образовательная организация (подвед ВУЗа),3666134884,"394033, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г ВОРОНЕЖ, ПР-КТ ЛЕНИНСКИЙ, Д. 119А","51.67997, 39.255364",действующая,24-01-2026,15-06-2006,366101001,1063600017337,15-06-2006,20401000000,20701000001,45961702,4210014,16,85.22,2014,71400,Автономная некоммерческая организация,АНО,2014,РЕКТОР,Иголкин Сергей Леонидович,4,головная организация
Воронеж,"АНОО РКШ ""СЧАСТЛИВОЕ ДЕТСТВО""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ РУССКАЯ КЛАССИЧЕСКАЯ ШКОЛА ""СЧАСТЛИВОЕ ДЕТСТВО""",общеобразовательная организация,3663150045,"394076, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. ТУПОЛЕВА, Д. 37, ПОМЕЩ. II","51.6347085, 39.2695556",действующая,10-02-2025,24-07-2020,366301001,1203600022053,24-07-2020,20401000000,20701000001,86142181,4210014,16,85.13,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Литвинова Марина Анатольевна,0,головная организация
Воронеж,"АНОПО ""АВТОМОБИЛЬНЫЙ, ПРАВОВОЙ ТЕХНИКУМ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТОМОБИЛЬНЫЙ, ПРАВОВОЙ ТЕХНИКУМ""",профессиональная образовательная организация,3666116765,"394036, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. КАРЛА МАРКСА, Д.43","51.6607937, 39.2072565",действующая,25-03-2025,15-09-2004,366601001,1043600074627,15-09-2004,20401000000,20701000001,74336000,4210014,16,85.21,2014,71400,Автономная некоммерческая организация,АНО,2014,ДИРЕКТОР,Амрахов Гаджи Исламович,0,головная организация
